AAP,CBS,DLTR,HOG,M,JWN,ABT,BAX,CI,ILMN,PDCO,UNH,MMM,CMI,FDX,JBHT,PH,ROP,APD,FMC,NUE,AES,ED
AMZN,CMG,EXPE,HAR,MAR,ORLY,ABBV,BDX,DVA,ISRG,PKI,UHS,ADT,DHR,FLIR,KSU,PNR,R,ARG,FCX,OI,GAS,D
AN,COH,F,HAS,MAT,OMC,AET,BIIB,XRAY,JNJ,PRGO,VAR,ALLE,DE,FLS,LLL,PBI,LUV,AA,IP,PPG,AEE,ETR
AZO,CMCSA,GME,HD,MCD,RL,A,BSX,EW,LH,PFE,VRTX,AAL,DAL,FLR,LEG,PWR,SRCL,AVY,IFF,PX,AEP,ES
BBBY,DHI,GPS,IPG,KORS,PCLN,AGN,BMY,ENDP,LLY,DGX,WAT,AME,DOV,GD,LMT,RTN,TXT,BLL,LYB,SEE,AWK,EXC
BBY,DRI,GRMN,JCI,MHK,PHM,ALXN,CAH,ESRX,MNK,REGN,ANTM,APH,DNB,GE,MAS,RSG,TYC,CF,MLM,SHW,CNP,FE
BWA,DLPH,GM,KSS,NWL,PVH,ABC,HSIC,GILD,MCK,STJ,ZBH,BA,ETN,GWW,NLSN,RHI,UNP,DOW,WRK,VMC,CMS,NEE
CVC,DISCA,GPC,LB,NWSA,ROST,AMGN,CELG,HCA,MDT,SYK,ZTS,CHRW,EMR,HON,NSC,ROK,UAL,DD,MON,T,LVLT,NI
KMX,DISCK,GT,LEN,NWS,RCL,BCR,CNC,HOLX,MRK,THC,GLW,CAT,EXPD,ITW,NOC,COL,UPS,EMN,MOS,CTL,VZ,NRG
CCL,DG,HBI,LOW,NKE,SNI,BXLT,CERN,HUM,MYL,TMO,CSX,CTAS,FAST,IR,PCAR,AMAT,URI,ECL,NEM,FTR,DTE,PCG
DIS,TWC,FOX,SBUX,SIG,TWX,FTI,PXD,AVB,EXR,MET,TMK,TRV,MMC,MHFI,IRM,ADSK,UTX,AAPL,JNPR,ORCL,DUK,PNW
WHR,TJX,UA,HOT,SNA,VIAB,HAL,RRC,BAC,FRT,MCO,UDR,EQT,OKE,AIV,JEC,ADP,VRSK,FFIV,KLAC,PAYX,EIX,PPL
WYN,TSCO,URBN,TGT,SWK,TIF,HP,SLB,BK,FITB,MS,USB,XOM,PSX,AIZ,EQR,AVGO,WM,FB,LRCX,PYPL,TDC,PEG
WYNN,TRIP,VFC,TGNA,SPLS,APC,HES,SWN,BBT,BEN,NDAQ,UNM,AFL,CINF,KEY,ESS,CA,XYL,FIS,LLTC,QRVO,TXN,SCG
YUM,FOXA,MJN,SJM,COST,APA,KMI,SE,BRK-B,GGP,NAVI,VTR,AMG,C,KIM,PSA,CSCO,ACN,FSLR,MA,QCOM,TSS,SRE
MO,CCE,TAP,SYY,CVS,BHI,MRO,TSO,BLK,GS,NTRS,VNO,ALL,CME,LM,O,CTXS,ATVI,FISV,MCHP,RHT,VRSN,SO
ADM,CL,MDLZ,HSY,DPS,COG,MPC,RIG,HRB,HIG,PBCT,WFC,AXP,CMA,LUK,RF,CTSH,ADBE,HRS,MU,CRM,V,TE
BF-B,CAG,MNST,TSN,EL,CAM,MUR,CXO,BXP,HCP,PNC,HCN,AIG,CCI,LNC,SPG,CSRA,AKAM,HPE,MSFT,SNDK,WDC,WEC
CPB,STZ,PEP,WMT,GIS,CHK,NOV,COP,COF,HST,CFG,WY,AMT,DFS,L,SLG,EBAY,ADS,HPQ,MSI,STX,WU,XEL
CHD,KHC,PM,WBA,HRL,CVX,NFX,DVN,CBG,HBAN,PFG,WLTW,AMP,ETFC,MTB,STT,EA,GOOGL,INTC,NTAP,SWKS,XRX,XRX
CLX,KR,PG,WFM,K,XEC,NBL,DO,SCHW,ICE,PGR,XL,AON,EFX,MAC,STI,EMC,GOOG,IBM,NFLX,SYMC,XLNX,XLNX
KO,MKC,RAI,KMB,CPGX,WMB,OXY,EOG,CB,IVZ,PLD,ZION,JPM,PRU,TROW,SYF,EQIX,ADI,INTU,NVDA,TEL,YHOO,YHOO